基金名稱,是複委託
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),TRUE
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),TRUE
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),FALSE
兆豐美國戰略智造多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),TRUE
兆豐第一基金,FALSE
兆豐萬全基金,FALSE
兆豐全球基金,TRUE
兆豐國民基金 ((基金之配息來源可能為收益平準金)),FALSE
兆豐豐台灣基金,FALSE
兆豐生命科學基金,TRUE
兆豐中國A股基金,TRUE
兆豐臺灣藍籌30ETF基金,FALSE
兆豐電子基金,FALSE
兆豐中國內需A股基金,TRUE
兆豐台灣先進通訊基金,FALSE
兆豐台灣金傳精選股息基金,FALSE
兆豐全球元宇宙科技基金,TRUE
兆豐洲際半導體ETF基金,TRUE
兆豐特選台灣晶圓製造ETF基金,FALSE
兆豐台灣產業龍頭存股等權重ETF基金 (本基金之配息來源可能為收益平準金),FALSE
兆豐日本優勢多重資產基金 (本基金之配息來源可能為本金),TRUE
兆豐收益增長多重資產基金 (本基金之配息來源可能為本金),TRUE
兆豐台灣ESG永續高股息等權重 ETF 基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),FALSE
兆豐台灣電子成長高息等權重ETF基金 (基金之配息來源可能為收益平準金且本基金並無保證收益及配息),FALSE
第一金量化日本基金,TRUE
第一金美元優選收益非投資等級債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
第一金台股趨勢優選主動式ETF基金 (本基金配息來源可能為收益平準金),FALSE
第一金台股趨勢優股息主動式ETF基金 (本基金並無保證收益及配息且配息來源可能為收益平準金),FALSE
第一金全球大趨勢基金,TRUE
第一金亞洲科技基金,TRUE
第一金電子基金,FALSE
第一金店頭市場基金,FALSE
第一金中國世紀基金,TRUE
第一金亞洲新興市場基金,TRUE
第一金創新趨勢基金,FALSE
第一金全球AI機器人及自動化產業基金,TRUE
第一金全球AI FinTech金融科技基金,TRUE
第一金全球水電瓦斯及基礎建設收益基金 (本基金之配息來源可能為本金),TRUE
第一金臺灣工業菁英30 ETF基金 (本基金配息來源可能為收益平準金),FALSE
第一金全球AI精準醫療基金,TRUE
第一金全球AI人工智慧基金,TRUE
第一金小型精選基金,FALSE
第一金彭博美國10年期以上金融債券指數ETF基金,TRUE
第一金全球Fitness健康瘦身基金,TRUE
第一金全球eSports電競基金,TRUE
第一金台灣核心戰略建設基金 (本基金配息來源可能為本金),FALSE
第一金太空衛星ETF基金,TRUE
第一金全球永續影響力投資多重資產基金 (本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),TRUE
第一金中概平衡基金,FALSE
匯豐超核心優化多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金及收益平準金),TRUE
匯豐AI人型機器人多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金),TRUE
匯豐安富基金,FALSE
匯豐龍鳳基金,FALSE
匯豐中國動力基金,TRUE
匯豐中國A股匯聚基金,TRUE
匯豐金磚動力基金,TRUE
匯豐新鑽動力基金,TRUE
匯豐全球關鍵資源基金,TRUE
匯豐台灣精典基金 (本基金配息來源可能為本金),FALSE
匯豐成功基金,FALSE
匯豐全球基礎建設收益基金 (本基金配息來源可能為本金及收益平準金),TRUE
匯豐龍騰電子基金,FALSE
匯豐超核心多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且本基金配息來源可能為本金及收益平準金),TRUE
元大全球航太與防衛科技ETF基金,TRUE
元大優息10年期以上美國政府債券ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),TRUE
元大零息超長期美國政府債券ETF基金,TRUE
元大優息10年期以上已開發市場投資級美元公司債券ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),TRUE
元大全球航太與防衛科技ETF連結基金,FALSE
元大標普500ETF連結基金,FALSE
元大全球AI新經濟主動式ETF基金,TRUE
元大納斯達克100增強成長精選ETF基金,TRUE
元大優質收益成長多重資產基金 (本基金之配息來源可能為本金),TRUE
元大2001基金,FALSE
元大多福基金,FALSE
元大全球農業商機基金,TRUE
元大新主流基金,FALSE
元大店頭基金,FALSE
元大新中國基金,TRUE
元大大中華價值指數基金,TRUE
元大標智滬深300基金,TRUE
元大印度基金,TRUE
元大新興亞洲基金,TRUE
元大印尼指數基金,TRUE
元大巴西指數基金,TRUE
元大富櫃50基金,FALSE
元大摩臺基金,FALSE
元大上證50基金,TRUE
元大台灣50單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),FALSE
元大大中華TMT基金,TRUE
元大滬深300單日正向2倍基金 (本基金為策略交易型產品且投資具有槓桿操作風險，故本基金不適合長期持有，僅符合臺灣證券交易所訂適格條件之投資人始得交易),TRUE
元大全球股票入息基金 (本基金之配息來源可能為本金且並無保證收益及配息),TRUE
元大標普500基金,TRUE
元大日經225基金,TRUE
元大歐洲50基金,TRUE
元大新東協平衡基金 (本基金有相當比重投資於非投資等級之高風險債券),TRUE
元大美國政府20年期(以上)債券基金 (本基金之配息來源可能為收益平準金),TRUE
元大美國政府7至10年期債券基金,TRUE
元大亞太優質高股息100指數基金 (基金之收益分配由經理公司得依收益之情況自行決定當季配息型受益權單位配息與否及分配之金額，故每季分配之金額並非一定相同且並無保證收益及配息),TRUE
元大台灣高股息低波動ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大20年期以上BBB級美元公司債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
元大美國政府1至3年期債券ETF基金,TRUE
元大亞太成長基金,TRUE
元大台灣中型100基金,FALSE
元大台灣金融基金,FALSE
元大台灣電子科技基金,FALSE
元大台灣高股息基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大MSCI中國A股國際通ETF基金,TRUE
元大20年期以上AAA至A級美元公司債券ETF基金 (本基金之配息來源可能為收益平準金),TRUE
元大全球人工智慧ETF基金,TRUE
元大標普美國高息特別股ETF基金 (本基金並無保證收益及配息),TRUE
元大10年期以上美元投資級銀行債券ETF基金,TRUE
元大10年期以上美元投資級醫療保健債券ETF基金,TRUE
元大10年期以上美元投資級公共事業電能債券ETF基金,TRUE
元大台灣高股息ETF連結基金 (本基金並無保證收益及配息),FALSE
元大台灣卓越50ETF連結基金,FALSE
元大富櫃50ETF連結基金,FALSE
元大臺灣ESG永續ETF基金 (本基金之配息來源可能為收益平準金),FALSE
元大全球未來通訊ETF基金,TRUE
元大15年期以上新興市場主權債ETF基金 (本基金之配息來源可能為收益平準金),TRUE
元大台灣高股息優質龍頭基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大全球5G關鍵科技ETF基金,TRUE
元大高科技基金,FALSE
元大經貿基金,FALSE
元大全球優質龍頭平衡基金,TRUE
元大多多基金,FALSE
元大卓越基金,FALSE
元大日本龍頭企業基金,TRUE
元大台灣高股息低波動ETF連結基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大臺灣ESG永續ETF連結基金 (本基金之配息來源可能為收益平準金),FALSE
元大臺灣價值高息ETF基金 (本基金之配息來源可能為收益平準金且並無保證收益及配息),FALSE
元大台灣卓越50基金,FALSE
元大台灣加權股價指數基金,FALSE
景順全球康健基金,TRUE
景順主流基金,FALSE
景順台灣科技基金,FALSE
景順潛力基金,FALSE
景順全球科技基金 (本基金配息來源可能為本金),TRUE
