基金名稱,名次,券商,總手續費,總手續費占比,交易金額,股票手續費,平均手續費率,投信,主基金名稱
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,凱基證券,116397,20.51%,116270476,116397,0.10%,兆豐投信,兆豐ESG台美永續雙盈多重資產基金
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,兆豐證券,86992,15.33%,86738649,86992,0.10%,兆豐投信,兆豐ESG台美永續雙盈多重資產基金
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),3,MS,190193,33.52%,75885856,190193,0.25%,兆豐投信,兆豐ESG台美永續雙盈多重資產基金
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),4,永豐金證券,73229,12.91%,63185381,73229,0.12%,兆豐投信,兆豐ESG台美永續雙盈多重資產基金
兆豐ESG台美永續雙盈多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),5,元大證券,30267,5.33%,30147429,30267,0.10%,兆豐投信,兆豐ESG台美永續雙盈多重資產基金
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),1,凱基證券,348048,21.36%,347972583,348048,0.10%,兆豐投信,兆豐全球尖端科技多重資產基金
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),2,中信證券,216743,13.30%,215616850,216743,0.10%,兆豐投信,兆豐全球尖端科技多重資產基金
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),3,永豐金證券,242616,14.89%,203257823,242616,0.12%,兆豐投信,兆豐全球尖端科技多重資產基金
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),4,MS,420751,25.83%,167901827,420751,0.25%,兆豐投信,兆豐全球尖端科技多重資產基金
兆豐全球尖端科技多重資產基金 (本基金之配息來源可能為本金),5,台新證券,83490,5.12%,69985681,83490,0.12%,兆豐投信,兆豐全球尖端科技多重資產基金
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),1,凱基證券,142927,23.06%,142627949,142927,0.10%,兆豐投信,兆豐台美動能股債平衡ETF基金
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),2,兆豐證券,116824,18.85%,116578632,116824,0.10%,兆豐投信,兆豐台美動能股債平衡ETF基金
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),3,群益金鼎證券,91597,14.78%,91444070,91597,0.10%,兆豐投信,兆豐台美動能股債平衡ETF基金
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),4,永豐金證券,60076,9.69%,59992209,60076,0.10%,兆豐投信,兆豐台美動能股債平衡ETF基金
兆豐台美動能股債平衡ETF基金 (基金之配息來源可能為收益平準金),5,統一綜合證券,56159,9.06%,56077818,56159,0.10%,兆豐投信,兆豐台美動能股債平衡ETF基金
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),1,兆豐證券,2043642,20.49%,2043079917,2043642,0.10%,兆豐投信,兆豐台灣豐收主動式 ETF基金
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),2,統一綜合證券,1749044,17.54%,1748226163,1749044,0.10%,兆豐投信,兆豐台灣豐收主動式 ETF基金
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),3,群益金鼎證券,1398812,14.03%,1398438827,1398812,0.10%,兆豐投信,兆豐台灣豐收主動式 ETF基金
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),4,中信證券,1050575,10.53%,1050078762,1050575,0.10%,兆豐投信,兆豐台灣豐收主動式 ETF基金
兆豐台灣豐收主動式 ETF基金 (基金之配息來源可能為收益平準金),5,永豐金證券,992233,9.95%,990980759,992233,0.10%,兆豐投信,兆豐台灣豐收主動式 ETF基金
兆豐美國戰略智造多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),1,凱基證券,219923,21.25%,220143840,219923,0.10%,兆豐投信,兆豐美國戰略智造多重資產基金
兆豐美國戰略智造多重資產基金 (本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),2,永豐金證券,219834,21.24%,183416363,219834,0.12%,兆豐投信,兆豐美國戰略智造多重資產基金
