主基金名稱,經理 人姓名
凱基全球10年期以上美元A級公司債券ETF基金,李暢
野村全球科技多重資產基金,王柏強、沈思瑩
合庫入息優化多重資產基金,黃馨世
台新日本半導體ETF基金,邱麒安
第一金量化日本基金,高若慈
安聯AI收益成長多重資產基金,莊凱倫
匯豐超核心優化多重資產基金,李怡慧
凱基優選台灣 AI 50 ETF基金,李郁馨
兆豐美國企業優選投資級公司債ETF基金,詹佳峯
群益優選收益非投資等級債券ETF基金,李忠泰
中國信託日經高股息50 ETF基金 (本子基金之配息來源可能為收益平準金且基金,許毓豪
中國信託日本商社及批發ETF基金,辛忠駿
中國信託日本半導體ETF基金,許家瑜
摩根大美國領先收成多重資產基金,楊若萱
貝萊德 iShares 安碩 0-3 月美國國庫證券指數基金,黃奕栩
永豐15年期以上ESG投資等級美元銀行債ETF基金,戴毓廷
大華銀15年期以上BBB投資等級美國公司債券ETF基金,郭修誠
富邦台灣優質多重資產基金,賴致瑋
野村全球航運龍頭息收ETF基金,張怡琳
華南永昌全球科技多重資產基金,林彥豪(代理)
富蘭克林華美臺灣ESG永續高息ETF基金,江明鴻
瀚亞亞洲科技資本家股票基金,林元平
台新美日台半導體基金,蘇聖峰
台新臺灣AI優息動能ETF基金,黃鈺民
兆豐ESG台美永續雙盈多重資產基金,李長昇
合庫AI多重資產基金,延任
中國信託亞太高股息ETF基金 (本子基金之配息來源可能為收益平準金且基金,張苡琤
中國信託全球高股息ETF基金 (本子基金之配息來源可能為收益平準金且本子基金,施絜心
永豐三至六年機動到期成熟市場優先順位投資級債券基金,吳如玉
元大全球航太與防衛科技ETF基金,李政剛
野村全天候組合基金,李雅婷
施羅德美國成長多重資產基金,李馥吟
統一全球15年以上BBB優選ESG公司債ETF基金,許雅惠
元大優息10年期以上美國政府債券ETF基金,李怡婷
元大零息超長期美國政府債券ETF基金,周宜縉
元大優息10年期以上已開發市場投資級美元公司債券ETF基金,陳柏彰
台新20年期以上BBB美元投資等級公司債ETF基金,劉恆誌
野村美日ETF傘型基金之美國創新研發龍頭ETF基金,林怡君
野村美日ETF傘型基金之日本價值動能高息ETF基金,張怡琳
第一金美元優選收益非投資等級債券ETF基金,王心妤
中國信託NASDAQ 100 ETF基金,張圭慧
中國信託美國創新科技ETF基金,張苡琤
中國信託美國聚焦成長基金,陳建彰
台新10年期以上特選全球BBB美元投資等級公司債券ETF基金,黃鈺民
東方匯理CIO精選增長基金,廖偉至
華南永昌精選非投資等級債券基金,陳翌珉
施羅德台美雙利多重資產基金,鄭詩涵(核心經理人) 柯鴻旼(協管經理人，管理類別:1)
野村全天候環球債券基金,林詩孟(核心經理人) 劉信芝(協管經理人，管理類別:2)
富邦台灣旗艦動能50ETF基金,林威宇
統一優選低波多重資產基金,涂韶鈺
聯邦台灣精彩50ETF基金,蔡維豪
玉山臺灣市值動能50 ETF 基金,楊立楷
群益印美戰略多重資產基金,向思穎
路博邁台日雙星股票基金,王昱如、黃煜(協管經理人，管理類別:1)
合庫核心趨勢多重資產基金,王慎中
東方匯理CIO精選均衡基金,曾咨瑋
富蘭克林華美20年期以上BBB投資級美元公司債ETF基金,林怡雯
野村臺灣智慧優選主動式ETF基金,游景德
富邦台灣淨零轉型ESG50 ETF基金,紀元豪
大華銀優化收益15年期以上A級美國公司債券ETF基金,賴昱廷
大華銀優化票息20年期以上美國政府債券ETF基金,郭修誠
台新美國電力基建息收ETF基金,劉恆誌
統一台股增長主動式ETF基金,陳釧瑤
台新全球傘型基金之台新標普500 ETF基金,黃鈺民
台新全球傘型基金之標普科技精選 ETF 基金,黃鈺民
台新全球傘型基金之台新收益領航多重資產基金,謝夢蘭
華南永昌台灣優選50ETF基金,蔣松原
群益台灣精選強棒主動式ETF基金,陳沅易
群益0-5年期ESG投資等級公司債ETF基金,呂汶芳
凱基美國Top股債平衡ETF基金,鄭翰紘
兆豐全球尖端科技多重資產基金,楊寳杉
富邦雙核心戰略多重資產基金,陳臻怡(核心經理人) 張庭豪(協管經理人，管理類別:1)
中國信託ARK創新主動式ETF基金,唐祖蔭
野村臺灣增強50主動式ETF基金,林浩詳
玉山全球跨國藍籌100ETF基金,黃相慈
安聯台灣高息成長主動式ETF基金,廖本隆
統一美國50ETF 基金,吳湘菱
聯博投資等級債入息主動式ETF基金,陳俊憲
富蘭克林華美10年期以上投資級美元金融債ETF基金,江明鴻
瀚亞環球智慧數據股息基金,賴盈良
合庫全球複合收益債券基金,楊嘉煒
台新全球龍頭成長主動式ETF基金,蘇聖峰
柏瑞日本多重資產基金,方定宇
東方匯理CIO精選保守基金,曾咨瑋
中國信託價值策略非投資等級債券主動式ETF基金 (本子基金,陳昱彰
元大全球航太與防衛科技ETF連結基金,李政剛
元大標普500ETF連結基金,盧永祥
台新臺灣優勢成長主動式ETF基金,魏永祥
統一全球創新主動式ETF基金,陳意婷
兆豐台美動能股債平衡ETF基金,詹佳峯
野村日本東證ETF基金,張怡琳
貝萊德iShares安碩標普500卓越50 ETF基金,楊貽甯
富邦優選收益傘型基金之富邦環球動態入息投資級債主動式ETF基金,黃詩紋(核心經理人) 林建璋(協管經理人，管理類別:2)
富邦優選收益傘型基金之富邦環球複合優選收益債主動式ETF基金,游陳達
凱基雙核收息債股平衡ETF基金,鄭翰紘
摩根大美國領先科技主動式ETF基金,蓋欣聖
柏瑞美利堅多重資產收益基金,江仲弘
群益標普500ETF基金,謝明志
野村澳洲10年期以上主權及類主權債券ETF基金,林亮妤
元大全球AI新經濟主動式ETF基金,吳昭豪
東方匯理全球多重資產成長收益基金,廖偉至
中國信託策略優利多重資產基金,羅世明
聯邦日本收益成長多重資產基金,王棋正
兆豐雙動能組合基金,鄭宛諭
施羅德智選優質美元債券基金,陳彥良
富邦美國傘型基金之富邦NASDAQ-100指數基金,王辰方
富邦美國傘型基金之富邦標普500指數基金,洪珮甄
富邦美國傘型基金之富邦標普500 ETF基金,蘇筱婷
大華銀Magnificent 7 Plus美國大型科技ETF基金,郭修誠
復華台灣未來50主動式ETF基金,呂宏宇
聯博優選全球非投資等級債券主動式ETF基金,陳俊憲
群益台灣科技創新主動式ETF基金,陳朝政
第一金台股趨勢優選主動式ETF基金,張正中
安聯台灣主動式ETF基金,施政廷(核心經理人) 郭勁甫(協管經理人，管理類別:1)
中國信託台灣卓越成長主動式ETF基金,張書廷
台新美國聚焦傘型基金之台新美國優選收益非投資等級債券ETF基金,簡大為
台新美國聚焦傘型基金之台新美國標普日常消費品精選行業指數基金,葉宇真
華南永昌NASDAQ 100科技ETF基金,蔣松原
凱基台灣TOP 50 ETF基金,葉菀婷
野村成長傘型基金之美國增長股票ETF組合基金,陳羽渢
野村成長傘型基金之臺灣創新科技50ETF連結基金,林怡君
兆豐台灣豐收主動式 ETF基金,王仲良
國泰大和日本不動產收息ETF基金,游凱卉
中國信託趨勢領袖多重資產基金,楊士醇
瀚亞環球增長ETF組合基金,陳姿瑾
統一全方位貨幣市場基金,陳勇徵
玉山美元嚴選非投資等級債券ETF基金,施沛昇
復華全球金融股票入息主動式ETF基金,張正宇
復華全球金融債券入息主動式ETF基金,黃媛君
貝萊德iShares安碩收益優化投資等級債主動式ETF基金,游忠憲
野村臺灣策略高息主動式ETF基金,游景德
合庫AI電力創新多重資產基金,延任
富邦景氣循環多元資產組合基金,林忠義
東方匯理全球策略收益基金,劉佳雨
群益美國增長主動式ETF基金,吳承恕
摩根台灣鑫收益主動式ETF基金,沈馨(核心經理人) 魏伯宇(協管經理人，管理類別:1)
國泰台股動能高息主動式ETF基金,梁恩溢
中國信託美國數據中心及電力ETF 基金,陳雯卿
安聯美國科技領航主動式ETF基金,洪華珍
統一台股升級50主動式ETF基金,張哲瑋
台新彭博美國成長指數基金,劉恆誌
元大納斯達克100增強成長精選ETF基金,方雅婷
野村全球稀土與關鍵資源ETF基金,張怡琳
富蘭克林華美美國收益多重資產基金,劉曉如
華南永昌全球未來金融優選30 ETF基金,蔣松原
聯博台灣動能收益50 主動式ETF基金,黃靜怡
富邦台灣龍耀主動式ETF基金,高晧欣
國泰全球多元收益傘型基金之環球策略收益債券基金,蔡宗岸
國泰全球多元收益傘型基金之全球收益非投資等級債券ETF基金,陳韻竹
兆豐美國戰略智造多重資產基金,李長昇
中國信託台灣收益成長主動式ETF基金,張書廷
匯豐AI人型機器人多重資產基金,楊博翔
群益美國科技巨頭ETF基金,李晉含
復華台灣菁英50指數基金,劉昌祚
復華全球創新金融指數基金,廖崇文
復華全球AI動力成長指數基金,吳允翔
聯邦美國金融創新ETF基金,周彥名
凱基台灣主動式ETF基金,趙偉志
元大優質收益成長多重資產基金,吳昕憓(核心經理人) 葉明哲(協管經理人，管理類別:2)
野村臺灣智慧優選主動式ETF連結基金,林怡君
第一金台股趨勢優股息主動式ETF基金,張正中
永豐台灣科技趨勢主動式ETF基金,周力行
貝萊德iShares安碩世界股票ETF基金,楊貽甯
貝萊德iShares安碩10年期以上A級美元公司債ETF基金,楊貽甯
兆豐第一基金,王仲良
野村鴻運基金,邱翠欣
匯豐安富基金,張雅雯
野村鴻利基金,姚郁如
兆豐萬全基金,王仲良
華南永昌永昌基金,童士維
富邦基金,張珈維
元大2001基金,林蕙清
台新台灣富貴基金,沈建宏
野村台灣運籌基金,姚郁如
兆豐全球基金,楊寳杉
野村環球基金,高君逸
匯豐龍鳳基金,邵琮淳
野村積極成長基金,葉穎娟
統一全天候基金,陳意婷
國泰小龍基金,黃維泰
元大多福基金,李振南
摩根台灣增長基金,葉鴻儒
玉山高成長基金,廖炳焜
第一金全家福貨幣市場基金,鄭純淑
兆豐國民基金,何世湧
復華全球大趨勢基金,王萬里
玉山全球消費商機基金,張銀成
摩根東方內需機會基金,魏伯宇
第一金全球大趨勢基金,黃筱雲
柏瑞全球策略非投資等級債券基金,劉文茵
兆豐豐台灣基金,林祖延
元大全球農業商機基金,曾妙蓮
摩根金龍收成基金,吳昱聰
安聯四季回報債券組合基金,許家豪(核心經理人) 呂朋怡(協管經理人，管理類別:3)
瀚亞非洲基金,林庭樟
復華華人世紀基金,胡家菱
元大得寶貨幣市場基金,劉晶樺
凱基開創基金,黃廷偉
富達台灣成長基金,白芳苹
聯邦優勢策略全球債券組合基金,任詩琳
台新大三通基金,曹智超
華南永昌麒麟貨幣市場基金,鄭鼎芝(代理)
永豐中小基金,陳良
德銀遠東DWS台灣貨幣市場基金,潘秀慧
台中銀萬保貨幣市場基金,俞明明
景順全球康健基金,蕭若梅
瀚亞美國高科技基金,林元平(核心經理人) 許智翔(協管經理人，管理類別:1)
玉山全球醫療生化基金,常李奕翰
安聯全球生技趨勢基金,林孟洼
街口台灣基金,蘇昱霖
野村全球品牌基金,呂丹嵐
兆豐生命科學基金,林祖延
凱基凱旋貨幣市場基金,蔡政賢
國泰科技生化基金,黃維泰
永豐趨勢平衡基金,陳良
復華全球債券基金,吳易欣
