主基金名稱,基金規模 (台幣)
凱基全球10年期以上美元A級公司債券ETF基金,56323523678
野村全球科技多重資產基金,13378075525
合庫入息優化多重資產基金,454359043
台新日本半導體ETF基金,3799216464
第一金量化日本基金,1175861329
安聯AI收益成長多重資產基金,27803288876
匯豐超核心優化多重資產基金,613419355
凱基優選台灣 AI 50 ETF基金,4145841760
兆豐美國企業優選投資級公司債ETF基金,2497021022
群益優選收益非投資等級債券ETF基金,40494943001
中國信託日經高股息50 ETF基金 (本子基金之配息來源可能為收益平準金且基金,446364958
中國信託日本商社及批發ETF基金,8552091225
中國信託日本半導體ETF基金,2168188542
摩根大美國領先收成多重資產基金,12888865306
貝萊德 iShares 安碩 0-3 月美國國庫證券指數基金,1452695891
永豐15年期以上ESG投資等級美元銀行債ETF基金,1132162061
大華銀15年期以上BBB投資等級美國公司債券ETF基金,4679540771
富邦台灣優質多重資產基金,106740199
野村全球航運龍頭息收ETF基金,1073048702
華南永昌全球科技多重資產基金,317751451
富蘭克林華美臺灣ESG永續高息ETF基金,5816143304
瀚亞亞洲科技資本家股票基金,2779937977
台新美日台半導體基金,4433796430
台新臺灣AI優息動能ETF基金,771117861
兆豐ESG台美永續雙盈多重資產基金,482250742
合庫AI多重資產基金,285669820
中國信託亞太高股息ETF基金 (本子基金之配息來源可能為收益平準金且基金,977406322
中國信託全球高股息ETF基金 (本子基金之配息來源可能為收益平準金且本子基金,1379621600
永豐三至六年機動到期成熟市場優先順位投資級債券基金,572210153
元大全球航太與防衛科技ETF基金,11070398338
野村全天候組合基金,1241110452
施羅德美國成長多重資產基金,1081629471
統一全球15年以上BBB優選ESG公司債ETF基金,1604169782
元大優息10年期以上美國政府債券ETF基金,1623512576
元大零息超長期美國政府債券ETF基金,1257197579
元大優息10年期以上已開發市場投資級美元公司債券ETF基金,6266188213
台新20年期以上BBB美元投資等級公司債ETF基金,3476531471
野村美日ETF傘型基金之美國創新研發龍頭ETF基金,983742822
野村美日ETF傘型基金之日本價值動能高息ETF基金,357767484
第一金美元優選收益非投資等級債券ETF基金,12906898978
中國信託NASDAQ 100 ETF基金,3656683890
中國信託美國創新科技ETF基金,1177502244
中國信託美國聚焦成長基金,1102159853
台新10年期以上特選全球BBB美元投資等級公司債券ETF基金,498187251
東方匯理CIO精選增長基金,1481447400
華南永昌精選非投資等級債券基金,328955387
施羅德台美雙利多重資產基金,3509929236
野村全天候環球債券基金,2071566490
